Libellé;Lien;État
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
2.4.1 Contourner des blocs;https://www.w3.org/Translations/WCAG20-fr/#navigation-mechanisms;OK
2.4.1 Bypass Blocks;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#navigation-mechanisms;OK
2.4.6 En-têtes et étiquettes;https://www.w3.org/Translations/WCAG20-fr/#navigation-mechanisms;OK
2.4.6 Headings and Labels;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#navigation-mechanisms;OK
2.4.10 En-têtes de section;https://www.w3.org/Translations/WCAG20-fr/#navigation-mechanisms;OK
2.4.10 Section Headings;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#navigation-mechanisms;OK
3.2.3 Navigation cohérente;https://www.w3.org/Translations/WCAG20-fr/#consistent-behavior;OK
3.2.3 Consistent Navigation;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#consistent-behavior;OK
3.2.4 Identification cohérente;https://www.w3.org/Translations/WCAG20-fr/#consistent-behavior;OK
3.2.4 Consistent Identification;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#consistent-behavior;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
3.1.3 Mots rares;https://www.w3.org/Translations/WCAG20-fr/#meaning;OK
3.1.3 Unusual Words;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#meaning;OK
3.1.4 Abréviations;https://www.w3.org/Translations/WCAG20-fr/#meaning;OK
3.1.4 Abbreviations;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#meaning;OK
(source);https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-cite-element;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
SEM-001 : Inclure la sémantique WAI-ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include WAI-ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
